icd1,sales,profit,profits,profitpure,equity,assets
3,92309,6156,7471,5303,61933,93084
3,11431,435,728,643,6480,10212
3,15453,142,465,188,8833,17319
3,18104,-728,-267,-171,8677,17948
3,13342,740,761,510,5364,11649
4,66566,19863,30293,24025,83570,17359600000
3,2059,-18,121,99,4440,4933
3,84774,5451,5505,-7384,31681,43662
4,22144,1206,1254,841,8032,13784
3,287,-473,-467,-237,10914,11528
3,357,-496,-447,-353,9664,10378
4,20238900000,62337,62284,43360,16028800000,26951800000
3,22398,1363,1406,882,7313,13575
4,29100,3075,3140,2089,33275,40130
3,5619,-442,-394,-523,3710,5822
4,897,-660,-617,1707,23537,27468
4,44734,1693,1750,1249,13959,24861
4,5048,416,429,277,5824,7092
4,29525,13113,14051,10070,11543800000,13986300000
4,4334,498,525,387,3247,7137
3,12420,221,430,203,2683,13887
4,3338,74,81,34,2670,4461
4,4014200000,22872,27022,19287,20400200000,34682400000
4,11629,1601,1664,1145,12255,15630
3,20397,2790,2793,1932,9106,12114
4,11966,1241,1246,682,5426,12998
3,8506,608,616,396,6932,9247
4,6210,476,485,324,3217,6145
3,6589,41,75,42,2554,4851
4,20740,470,571,375,14408,19296
4,4435,696,717,485,6452,7548
3,21937,1142,1133,679,5433,11453
4,515,-55,21,-4,2450,2726
4,270,-214,-206,-603,2233,2521
3,2827,1102,1155,777,7329,7761
3,1113,-119,-27,-130,543,1282
3,13283,1198,1781,1389,8831,12380
4,802200000,55632,57593,39952,23557100000,42611200000
4,863,47,47,42,633,806
3,7029,1430,1445,1019,7191,8943
4,6113,71,73,-483,4248,5190
4,4639,702,795,614,3412,4625
3,84422,4605,5010,3605,27426,41264
4,14717,958,976,523,3046,9931
3,12046,1973,2014,7192,11292,12638
4,843,244,245,161,2191,4913
3,48958,3773,3484,2230,21822,39815
4,86107,7392,8633,5960,48826,79887
4,4770,569,541,545,29780,30666
4,1797,-107,-55,-31,900,1351
4,51671,11277,12971,8895,53496,73453
4,31127,-1801,1196,1998,26023,68810
4,11517,2378,3016,1833,15962,21265
4,765,-143,-93,-99,2568,3304
4,16683,2024,1953,1286,13369,15535
4,11573,1025,3283,2932,11257,12969
3,6702,636,514,337,2273,15773
4,14940,1092,1085,679,4084,7812
4,1255,17,150,13,4208,4437
4,38535,3199,3221,2241,14666,27347
3,5499,-305,-282,-625,1541,3259
3,7485,1332,-69,-2708,12629,34712
4,11094,-34,63,21,4235,6927
4,72951,6237,7048,4883,51460,83940
3,386,80,103,73,6436,7875
4,1059,400,520,396,3570,9817
4,10443,921,953,683,6372,10032
3,6845,4544,4547,3639,10316,13437
3,36519,10187,10576,7442,35373,45986
3,58076,61,241,-244,7829,16410
3,4674,1309,1204,315,7169,25168
3,5529,256,301,192,2622,3991
3,3363,16,13,4,283,1143
3,2606,22,42,144,838,1214
3,3132,510,511,333,1869,2253
3,11235,27,0,-140,1292,10195
3,4249,896,903,638,2072,3220
3,1359,22,19,17,1517,2932
3,1197,168,132,54,1452,2877
3,1248,1059,1055,986,3260,3616
3,8321,1286,1301,845,5086,7838
3,1706,865,865,564,3243,3594
3,3363,309,313,196,2240,2765
3,494,91,94,152,2719,2742
3,10668,657,665,436,2737,4417
3,9873,576,575,248,2069,3838
3,13138,1806,1837,1731,10794,13427
3,2181,425,427,237,3024,3282
3,6111,19,126,1215,4940,6208
3,25706,5804,6885,4878,21256,31816
3,4325,411,1064,-1446,6672,14206
3,992,439,507,506,5166,6337
3,1501,651,573,510,8035,11182
3,5127,907,934,653,7050,8060
3,16560,1423,1385,1009,4584,18805
3,2919,60,103,78,662,2429
3,2411,867,940,651,2428,10414
3,3170,39,55,-1112,1500,5186
3,2614,556,583,396,2293,2797
3,12385,184,181,114,3169,5072
3,6811,1955,2026,1389,4652,8942
3,14501,2285,2314,1515,12541,16077
3,8729,472,486,318,2797,6716
3,10482,478,481,200,2172,3594
3,4016,699,754,519,2304,11629
3,3501,173,150,92,2281,3531
3,1430,294,387,242,4399,12595
3,1253,34,31,30,857,1209
3,305,15,16,9,1275,1972
3,13143,1213,1301,890,4445,6865
3,648,239,298,314,11482,11660
3,947,450,456,-269,3361,9815
3,1820,188,193,140,2656,2923
3,3486,162,177,85,1347,2472
3,62748,53121,55413,34247,93266700000,142488000000
3,18948,797,1264,852,4699,8643
3,5734,235,239,26,1235,1928
3,403,-61,-61,-82,688,881
3,27455100000,21362300000,215900000,22079100000,794044000000,80796000000
3,4145,60,60,-60,2330,3586
3,4129,272,269,148,1031,3371
3,1328,19,15,27,630,2380
3,17691,5260,4953,3727,59677,14797300000
3,2477,830,721,443,2642,3074
3,6379,541,533,453,3841,4735
3,16028,741,735,268,5990,19218
3,12120,980,1016,717,3012,6873
3,11544,641,622,438,2273,4595
3,1235,-161,-130,-148,1810,2208
3,5239,398,403,279,1400,3556
3,288,75,104,82,985,1834
3,5077,1886,1889,1342,5162,6427
3,73274,4239,4284,3133,13738,38338
3,11157,791,801,505,2893,5398
3,776,-363,94,-115,528,2481
3,16905,3416,2869,1212,12935,16225
3,2226,-157,-138,-159,2063,3613
3,2357,778,778,483,2720,3172
3,3828,1690,1770,1197,6998,7810
3,24615,852,936,693,8780,16000
3,1524,575,573,375,1453,1842
3,4742,302,354,245,2593,3961
3,2962,383,358,248,2187,8682
